Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Average of next day price,close-open,open price of next day
ITC,EQ,3-Mar-22,215.3,216.05,220.2,216,219.35,219.4,218.52,28532668,6235043683,122600,18281302,64.07,222.66,7.8,217.7
ITC,EQ,4-Mar-22,219.4,217.7,227.4,217,225,225.5,222.66,66835736,14881564312,284871,40825247,61.08,223.87,2.95,222
ITC,EQ,7-Mar-22,225.5,222,227,220.1,225.95,224.95,223.87,45258669,10131981893,226272,26504909,58.56,226.27,3,223.9
ITC,EQ,8-Mar-22,224.95,223.9,228.45,223.75,226.8,226.9,226.27,36036336,8154008012,198973,23514703,65.25,228.8,1.55,227.7
ITC,EQ,9-Mar-22,226.9,227.7,231.4,226.1,229,229.25,228.8,42294906,9677136455,168447,29264232,69.19,230.14,1,231
ITC,EQ,10-Mar-22,229.25,231,232.5,227.85,231.45,232,230.14,36132245,8315364499,162038,22399679,61.99,234.51,4.45,231.9
ITC,EQ,11-Mar-22,232,231.9,237.1,230.15,234.95,236.35,234.51,41699184,9778867194,194153,27730894,66.5,237.88,2.75,236.25
ITC,EQ,14-Mar-22,236.35,236.25,239.45,235.3,239,239,237.88,35113638,8352803841,153586,22869875,65.13,238.48,-1.15,239
ITC,EQ,15-Mar-22,239,239,241.4,235.9,238.2,237.85,238.48,32998305,7869470291,159184,20863422,63.23,240.65,2.6,240
ITC,EQ,16-Mar-22,237.85,240,243,239.1,242.4,242.6,240.65,21629521,5205102086,132633,13145841,60.78,244.3,-0.35,245.25
ITC,EQ,17-Mar-22,242.6,245.25,245.4,242.7,244.55,244.9,244.3,34223740,8360956981,158119,22185292,64.82,245.28,-1.4,245.9
ITC,EQ,21-Mar-22,244.9,245.9,247.75,243.8,244.5,244.5,245.28,27975134,6861601746,149077,16934475,60.53,247.49,5.2,244.55
ITC,EQ,22-Mar-22,244.5,244.55,250.75,243.55,249.95,249.75,247.49,36945426,9143578094,176133,21253371,57.53,251.88,0.55,251.45
ITC,EQ,23-Mar-22,249.75,251.45,253.7,248.5,251.9,252,251.88,40491633,10199201337,239738,23950896,59.15,254.29,2.9,251.95
